Table of addresses and their specified labels.

000  cold_start
01A  warm_start
029  bad_command
02C  R_command
032  read_value
04A  M_command
068  print_ASCII
06E  H_command
07B  G_command
082  read_next_char
085  read_from_UART
089  read_character
08B  send_to_UART
08F  UART_write
091  receive_string
094  receive_full_test
0A2  BS_edit
0A8  string_start_again
0AA  read_error
0AE  clear_UART_Rx_loop
0B3  hex_byte_to_ASCII
0C0  nibble_to_ASCII
0C4  nibble_ASCII_number
0C6  upper_case
0CC  upper_case_string
0CD  ucs_loop
0D4  1char_to_value
0D8  ASCII_byte_to_hex
0E5  ASCII_to_hex
0EF  ASCII_letter
0F1  send_CR
0F4  send_space
0F7  send_backspace
0FA  send_welcome
131  send_prompt
140  send_greater_than
143  send_Overflow_Error
153  send_space_Error
154  send_Error
15E  send_OK
164  ISR
